EA_REGION,REGION,PERMIT_REF,VERSION,OUTLET_NUMBER,EFFLUENT_NUMBER,SPT_DESC,EFF_SAMPLE_POINT,EFF_TMEN_CODE,TMEN_DESC,DWF (m3_d),MAX_DAILY (m3_d),MEAN (m3_d),MAX_RATE (l_s),samplingPoint.notation
SW,EA South West Region,040628,2,1,1,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,50340496,01,BIOLOGICAL FILTRATION,1078.0,3235.0,,,SW-50340496
SW,EA South West Region,203413,4,1,1,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,70817390,01,BIOLOGICAL FILTRATION,203.0,,,,SW-70817390
SW,EA South West Region,042463,4,1,1,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,50310131,01,BIOLOGICAL FILTRATION,100.0,,,,SW-50310131
SW,EA South West Region,101538,3,1,1,TRADE DISCHARGES - PROCESS EFFLUENT - WATER COMPANY (WTW),60500240,99,NONE,,950.0,,44.0,SW-60500240
SW,EA South West Region,NRA-SW-0782,10,1,1,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,82211842,01,BIOLOGICAL FILTRATION,19704.0,172800.0,,,SW-82211842
SW,EA South West Region,102218,2,1,1,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,A3240103,01,BIOLOGICAL FILTRATION,423.0,,,,SW-A3240103
SW,EA South West Region,101637,3,1,1,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,Z1012103,08,DO NOT USE - USE 40 TO 43 CHEMICAL - PHOSPHATE STRIPPING,10000.0,,,,SW-Z1012103
SW,EA South West Region,010265,4,1,1,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,A2270493,01,BIOLOGICAL FILTRATION,518.0,,,,SW-A2270493
SW,EA South West Region,010024,3,1,2,SEWAGE DISCHARGES - STW STORM OVERFLOW/STORM TANK - WATER COMPANY,A4070131,12,MACERATION,,,,,SW-A4070131
SW,EA South West Region,101456,3,1,1,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,E3020019,03,TERTIARY BIOLOGICAL,2481.0,,,,SW-E3020019
SW,EA South West Region,010029,3,1,1,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,B3160103,01,BIOLOGICAL FILTRATION,520.0,,,,SW-B3160103
SW,EA South West Region,071798,3,1,1,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,60031354,01,BIOLOGICAL FILTRATION,225.0,,,,SW-60031354
SW,EA South West Region,NRA-SW-7828,4,1,1,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,81950668,23,ACTIVATED SLUDGE,68.0,,,,SW-81950668
SW,EA South West Region,003101/FN/01,4,1,1,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,70210706,01,BIOLOGICAL FILTRATION,310.0,,,,SW-70210706
SW,EA South West Region,NRA-SW-6988,3,1,1,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,70633312,01,BIOLOGICAL FILTRATION,68.0,,,,SW-70633312
SW,EA South West Region,070154,3,1,1,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,E3110039,01,BIOLOGICAL FILTRATION,110.0,,,,SW-E3110039
SW,EA South West Region,070053,3,1,2,SEWAGE DISCHARGES - STW STORM OVERFLOW/STORM TANK - WATER COMPANY,E2040011,,,,,,,SW-E2040011
SW,EA South West Region,202669,4,1,1,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,72910343,22,UV DISINFECTION,10717.0,,,,SW-72910343
SW,EA South West Region,NRA-SW-3474,4,1,1,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,70531672,01,BIOLOGICAL FILTRATION,155.0,,,7.2,SW-70531672
SW,EA South West Region,15/49/281/P/16,6,1,1,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,82528133,08,DO NOT USE - USE 40 TO 43 CHEMICAL - PHOSPHATE STRIPPING,338.0,,,,SW-82528133
SW,EA South West Region,SWWA 1137,4,1,1,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,70630278,01,BIOLOGICAL FILTRATION,273.0,,,,SW-70630278
SW,EA South West Region,NRA-SW-6984,6,1,1,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,70630192,01,BIOLOGICAL FILTRATION,812.0,,,,SW-70630192
SW,EA South West Region,302487,5,1,1,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,81915133,22,UV DISINFECTION,150.0,,,,SW-81915133
SW,EA South West Region,202711,5,1,1,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,70710315,33,MEMBRANE FILTRATION,66.0,,,,SW-70710315
SW,EA South West Region,202711,5,1,2,SEWAGE DISCHARGES - STW STORM OVERFLOW/STORM TANK - WATER COMPANY,70710320,11,SCREENING,,,,,SW-70710320
SW,EA South West Region,NPSWQD002627,1,1,1,SEWAGE & TRADE COMBINED - UNSPECIFIED,70530031,29,PACKAGE TREATMENT PLANT,,15.0,,,SW-70530031
SW,EA South West Region,011342,3,1,1,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,Z1012005,01,BIOLOGICAL FILTRATION,170.0,,,,SW-Z1012005
SW,EA South West Region,401665,1,1,1,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,50210020,01,BIOLOGICAL FILTRATION,30.0,,,,SW-50210020
SW,EA South West Region,040067,3,1,1,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,50410150,03,TERTIARY BIOLOGICAL,295.0,,,,SW-50410150
SW,EA South West Region,012200,3,1,1,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,Z8490139,01,BIOLOGICAL FILTRATION,149.0,,,,SW-Z8490139
SW,EA South West Region,010071,4,1,1,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,Z3120103,10,LAGOON SETTLEMENT,550.0,,,,SW-Z3120103
SW,EA South West Region,402100,2,1,1,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,50410119,01,BIOLOGICAL FILTRATION,240.0,,,,SW-50410119
SW,EA South West Region,070099,3,3,1,SEWAGE DISCHARGES - STW STORM OVERFLOW/STORM TANK - WATER COMPANY,E4000021,14,LAND IRRIGATION,,,,,SW-E4000021
SW,EA South West Region,040080,3,1,2,SEWAGE DISCHARGES - STW STORM OVERFLOW/STORM TANK - WATER COMPANY,50231071,11,SCREENING,,,,,SW-50231071
SW,EA South West Region,300914,6,1,1,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,81410450,22,UV DISINFECTION,3076.0,,,,SW-81410450
SW,EA South West Region,302401,3,1,1,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - NOT WATER COMPANY,81410383,29,PACKAGE TREATMENT PLANT,,14.3,,,SW-81410383
SW,EA South West Region,302401,4,1,1,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - NOT WATER COMPANY,81410383,29,PACKAGE TREATMENT PLANT,,14.3,,,SW-81410383
SW,EA South West Region,070975,3,1,1,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,E2360019,01,BIOLOGICAL FILTRATION,110.0,,,,SW-E2360019
SW,EA South West Region,101438,2,1,1,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,60010154,30,REEDBED,285.0,,,,SW-60010154
SW,EA South West Region,041570,3,1,1,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,D1727900,01,BIOLOGICAL FILTRATION,227.0,,,,SW-D1727900
SW,EA South West Region,040093,3,2,1,SEWAGE DISCHARGES - STW STORM OVERFLOW/STORM TANK - WATER COMPANY,50320389,11,SCREENING,,,,,SW-50320389
SW,EA South West Region,15/48/22/P/5,3,1,1,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,81950832,01,BIOLOGICAL FILTRATION,80.0,,,,SW-81950832
SW,EA South West Region,NRA-SW-0007,3,1,1,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,91251612,01,BIOLOGICAL FILTRATION,100.0,,,,SW-91251612
SW,EA South West Region,010039,4,1,2,SEWAGE DISCHARGES - STW STORM OVERFLOW/STORM TANK - WATER COMPANY,Z5550107,11,SCREENING,,,,,SW-Z5550107
SW,EA South West Region,010299,4,1,1,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,A3190312,01,BIOLOGICAL FILTRATION,55.0,,,,SW-A3190312
SW,EA South West Region,102395,3,1,1,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,E2030049,14,LAND IRRIGATION,2500.0,,,,SW-E2030049
SW,EA South West Region,010054,4,1,2,SEWAGE DISCHARGES - STW STORM OVERFLOW/STORM TANK - WATER COMPANY,Z4170228,12,MACERATION,,,,,SW-Z4170228
SW,EA South West Region,203223,3,1,1,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,70813018,22,UV DISINFECTION,5505.0,,,,SW-70813018
SW,EA South West Region,303644,2,1,1,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,81310248,01,BIOLOGICAL FILTRATION,,19.0,,,SW-81310248
SW,EA South West Region,401339,3,1,2,SEWAGE DISCHARGES - STW STORM OVERFLOW/STORM TANK - WATER COMPANY,50340503,11,SCREENING,350.0,,,,SW-50340503
