samplingPoint.notation,samplingPoint.prefLabel,samplingPoint.easting,samplingPoint.northing,DISCHARGE_SITE_NAME_1,MATCH_CONFIDENCE_1,PERMIT_NUMBER_1,PERMIT_VERSION_1,DISCHARGE_EASTING_1,DISCHARGE_NORTHING_1,DISCHARGE_SITE_NAME_2,MATCH_CONFIDENCE_2,PERMIT_NUMBER_2,PERMIT_VERSION_2,DISCHARGE_EASTING_2,DISCHARGE_NORTHING_2,DISCHARGE_SITE_NAME_3,MATCH_CONFIDENCE_3,PERMIT_NUMBER_3,PERMIT_VERSION_3,DISCHARGE_EASTING_3,DISCHARGE_NORTHING_3,DISCHARGE_SITE_NAME_4,MATCH_CONFIDENCE_4,PERMIT_NUMBER_4,PERMIT_VERSION_4,DISCHARGE_EASTING_4,DISCHARGE_NORTHING_4
SW-50550130,RIVER FROME AT BOCKHAMPTON,372116.1833528301,90460.37013582607,,0.0,,,,,,,,,,,,,,,,,,,,,,
SW-50590907,RIVER WIN AT SEVEN STARS,382914.0296664602,86910.80909975819,,0.0,,,,,,,,,,,,,,,,,,,,,,
SW-50958888,MISCELLANEOUS RIVER SHERFORD,393998.1737546093,92101.46180797124,,0.0,,,,,,,,,,,,,,,,,,,,,,
SW-50909999,MISC POOLE HARBOUR SOUTH CATCHMENT,397000.07997040224,84003.36471144139,,0.0,,,,,,,,,,,,,,,,,,,,,,
SW-GWECO145,THROOP BH GW WQ,382575.0680279138,93272.71857747876,,0.0,,,,,,,,,,,,,,,,,,,,,,
SW-GWECO142,MARLEY BOTTOM BH GW WQ,380818.11518236814,83737.74420401346,,0.0,,,,,,,,,,,,,,,,,,,,,,
SW-LSN0030,HAM COMMON POND,398331.29986724944,90608.08207712816,,0.0,,,,,,,,,,,,,,,,,,,,,,
SW-LSN366,LSN0366 HATCH POND,401302.8402014843,93866.12698110726,,0.0,,,,,,,,,,,,,,,,,,,,,,
SW-PLHABOUT,POOLE HARBOUR OUTER,400901.0914949213,91052.64320311116,,0.0,,,,,,,,,,,,,,,,,,,,,,
SW-GWECO143,REW CORNER BH GW WQ,363784.50806283526,89421.82667757978,,0.0,,,,,,,,,,,,,,,,,,,,,,
SW-RSN2213,RSN2213 CHARMINSTER (90**),367964.28763578006,92708.36615801309,,0.0,,,,,,,,,,,,,,,,,,,,,,
SW-RTN0044,CERNE AT KETTLE BRIDGE,366411.753101575,101458.9883595318,,0.0,,,,,,,,,,,,,,,,,,,,,,
SW-RTN0045,FROME AT MAIDEN NEWTON GAUGING STATION,359646.3301900425,97648.22216988364,,0.0,,,,,,,,,,,,,,,,,,,,,,
SW-SSN1532,SSN1532 MOREDON PARK COTTAGE,391127.8882606445,93462.27849213696,,0.0,,,,,,,,,,,,,,,,,,,,,,
SW-SSN1536,SSN1536 WARMWELL HEATH,375143.68094361,87197.89006449879,,0.0,,,,,,,,,,,,,,,,,,,,,,
SW-50459999,MISCELLANEOUS LOWER PIDDLE CATCHMENT BERE STREAM TO WAREHAM,388503.440324233,90498.35483078056,,0.0,,,,,,,,,,,,,,,,,,,,,,
SW-50550362,RIVER CERNE AT NETHER CERNE,366906.4479221459,98375.37883719144,,0.0,,,,,,,,,,,,,,,,,,,,,,
SW-RSN0397,RSN0397 RIVER WIN AT RED LION,380491.8569537642,85340.26259581125,,0.0,,,,,,,,,,,,,,,,,,,,,,
