,row_id,n,DETE,DETE_CODE,EA_REGION,EFFLUENT_NUMBER,METHOD,MONTH_FROM,MONTH_TO,OUTLET_NUMBER,PERMIT_REF,REGION,UNITS,VERSION,RULE_TYPE,RULE_VALUE
20,20,1,Ammoniacal Nitrogen as N,111,SW,1,ABSOLUTE,11,4,1,040067,EA South West Region,MILLIGRAM PER LITRE,5,95 PERCENTILE,10.0
21,21,1,BOD : 5 Day ATU,85,SW,1,ABSOLUTE,1,12,1,041444,EA South West Region,MILLIGRAM PER LITRE,1,MAXIMUM VALUE,20.0
22,22,1,Ammoniacal Nitrogen as N,111,SW,1,ABSOLUTE,1,12,1,041444,EA South West Region,MILLIGRAM PER LITRE,1,MAXIMUM VALUE,20.0
23,23,1,pH,61,SW,1,COMPARATIVE,1,12,1,041518,EA South West Region,PH UNITS,1,MAXIMUM VALUE,0.5
24,24,1,"Colour, Filtered",72,SW,1,COMPARATIVE,1,12,2,041518,EA South West Region,COLOUR,1,MAXIMUM VALUE,10.0
25,25,1,"Solids, Suspended at 105 C",135,SW,1,COMPARATIVE,1,12,2,041518,EA South West Region,MILLIGRAM PER LITRE,1,MAXIMUM VALUE,4.0
26,26,1,Turbidity,6396,SW,1,COMPARATIVE,1,12,1,041519,EA South West Region,NEPHELOMETRIC TURBIDITY UNITS,1,MAXIMUM VALUE,5.0
27,27,1,BOD : 5 Day ATU,85,SW,1,ABSOLUTE,1,12,1,402100,EA South West Region,MILLIGRAM PER LITRE,4,95 PERCENTILE,17.0
28,28,1,Turbidity,6396,SW,1,ABSOLUTE,1,12,1,EPRYB3197RR,EA South West Region,NEPHELOMETRIC TURBIDITY UNITS,2,MAXIMUM VALUE,20.0
29,29,1,Ammoniacal Nitrogen as N,111,SW,2,ABSOLUTE,1,12,1,042116,EA South West Region,MILLIGRAM PER LITRE,4,95 PERCENTILE,10.0
30,30,1,Zinc,6455,SW,1,ABSOLUTE,1,12,1,043233,EA South West Region,MICROGRAM PER LITRE,2,MAXIMUM VALUE,75.0
31,31,1,pH,61,SW,1,ABSOLUTE,1,12,2,043235,EA South West Region,PH UNITS,2,MAXIMUM VALUE,9.0
32,32,1,Zinc,6455,SW,1,ABSOLUTE,1,12,1,400114/CF/01,EA South West Region,MICROGRAM PER LITRE,2,MAXIMUM VALUE,75.0
